code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
AP1805.CZC,苹果1805,6480.0,6846.0,6846.0,6471.0,6655.0,6520.0,6481.0,33878552900.0,509036,71108,2018-02-23,AP,201805,10,1.0,AP,1,0.2,True,1,0,0,6846.0,6480.0,6846.0,6471.0
AP1805.CZC,苹果1805,6955.0,6956.0,7064.0,6883.0,6960.0,6655.0,6846.0,41846022100.0,601232,54924,2018-02-26,AP,201805,10,1.0,AP,1,0.2,True,1,0,0,6956.000000000001,6955.000000000002,7064.000000000002,6883.000000000002
AP1805.CZC,苹果1805,6945.0,7083.0,7150.0,6889.0,7016.0,6960.0,6956.0,65455195800.0,932914,64128,2018-02-27,AP,201805,10,1.0,AP,1,0.2,True,1,0,0,7083.000000000002,6945.000000000002,7150.000000000002,6889.000000000002
AP1805.CZC,苹果1805,7082.0,7098.0,7124.0,7036.0,7082.0,7016.0,7083.0,62191300000.0,878110,66560,2018-02-28,AP,201805,10,1.0,AP,1,0.2,True,1,0,0,7098.000000000004,7082.000000000003,7124.000000000003,7036.000000000003
AP1805.CZC,苹果1805,7090.0,7131.0,7188.0,7050.0,7128.0,7082.0,7098.0,57119084100.0,801364,68836,2018-03-01,AP,201805,10,1.0,AP,1,0.2,True,1,0,0,7131.000000000004,7090.000000000003,7188.000000000004,7050.000000000003
AP1805.CZC,苹果1805,7115.0,7016.0,7168.0,6976.0,7099.0,7128.0,7131.0,58701726200.0,826852,62484,2018-03-02,AP,201805,10,1.0,AP,1,0.2,True,1,0,0,7016.000000000004,7115.000000000003,7168.000000000004,6976.000000000003
AP1805.CZC,苹果1805,7005.0,7026.0,7052.0,6944.0,6998.0,7099.0,7016.0,66870934300.0,955606,61168,2018-03-05,AP,201805,10,1.0,AP,1,0.25,True,1,0,0,7026.000000000005,7005.000000000005,7052.000000000005,6944.000000000005
AP1805.CZC,苹果1805,7030.0,7218.0,7310.0,7018.0,7193.0,6998.0,7026.0,119958000000.0,1667622,76480,2018-03-06,AP,201805,10,1.0,AP,1,0.3,True,1,0,0,7218.000000000005,7030.000000000005,7310.000000000005,7018.000000000005
AP1805.CZC,苹果1805,7216.0,7185.0,7238.0,7149.0,7198.0,7193.0,7218.0,66132478900.0,918752,68264,2018-03-07,AP,201805,10,1.0,AP,1,0.35,True,1,0,0,7185.000000000006,7216.000000000006,7238.000000000006,7149.000000000006
AP1805.CZC,苹果1805,7182.0,7132.0,7200.0,7083.0,7139.0,7198.0,7185.0,59757878300.0,837036,62722,2018-03-08,AP,201805,10,1.0,AP,1,0.4,True,1,0,0,7132.0000000000055,7182.000000000005,7200.000000000005,7083.000000000005
AP1805.CZC,苹果1805,7132.0,7212.0,7249.0,7114.0,7191.0,7139.0,7132.0,76391517000.0,1062380,63194,2018-03-09,AP,201805,10,1.0,AP,1,0.45,True,1,0,0,7212.0000000000055,7132.000000000005,7249.000000000005,7114.000000000005
AP1805.CZC,苹果1805,7251.0,7030.0,7313.0,7004.0,7083.0,7191.0,7212.0,92002088000.0,1298964,65806,2018-03-12,AP,201805,10,1.0,AP,1,0.5,True,1,0,0,7030.000000000006,7251.000000000006,7313.000000000006,7004.000000000006
AP1805.CZC,苹果1805,7029.0,7042.0,7085.0,6982.0,7031.0,7083.0,7030.0,65113431400.0,926130,59850,2018-03-13,AP,201805,10,1.0,AP,1,0.5,True,1,0,0,7042.000000000006,7029.000000000006,7085.000000000006,6982.000000000006
